ERA,  2004_Q3,    2004-08,    2004 August
ERA,  year_0405,  2004_Q3,    VAT Q3 Aug Sep Oct
ERA,  2004_Q3,    2004-09,    2004 September
ERA,  2004_Q3,    2004-10,    2004 October
ERA,  2004_Q4,    2004-11,    2004 November
ERA,  year_0405,  2004_Q4,    VAT Q4 Nov Dec Jan
ERA,  2004_Q4,    2004-12,    2004 December
ERA,  2004_Q4,    2005-01,    2005 January
ERA,  2005_Q1,    2005-02,    2005 February
ERA,  year_0506,  2005_Q1,    VAT Q1 Feb Mar Apr
ERA,  2005_Q1,    2005-03,    2005 March
ERA,  2005_Q1,    2005-04,    2005 April

REF,  dotdot,  key,  desc

CAT,  dotdot,  key,       desc
CAT,  -,       D,         Drawings
CAT,  -,       T,         Tax
CAT,  -,       O,         Outgoings
CAT,  -,       X,         X-FERS
CAT,  -,       I,         Income
CAT,  -,       N,         Notes
CAT,  D,       D1,        Salary
CAT,  D,       D3,        Pension
CAT,  D,       D5,        Dividend
CAT,  T,       T1,        VAT
CAT,  T,       T2,        PAYE+NI
CAT,  T,       T3,        TAX
CAT,  T2,      T2_PAYE,   PAYE Income Tax
CAT,  T2,      T2_NI_ER,  NI Employers part
CAT,  T2,      T2_NI_EE,  NI Employees part
CAT,  O,       P,         Purchases
CAT,  O,       H,         Hardware Asset
CAT,  O,       Z,         -DUNNO-
CAT,  X,       X1,        PAID Invoice
CAT,  X,       X2,        PAID Director Journal
CAT,  X,       X3,        PAID VISA
CAT,  X,       X4,        PAID Cheque etc
CAT,  X,       X5,        OWED NI PAYE; etc
CAT,  I,       I1,        Contract
CAT,  I,       I2,        Travel Fee
CAT,  I,       I3,        Asset Sales
CAT,  I,       I4,        Interest etc
CAT,  N,       N1,        231231 = Cheque
CAT,  N,       N2,        STMT 100 = VAL
CAT,  N,       N3,        note:
CAT,  N,       N4,        PREV YEAR etc

ACCT,  key,       amount,  desc,                   amnt_closing
ACCT,  bank,       57.50,  Cheque account,                 0.00
ACCT,  ccard,       0.00,  Credit Card,                    0.00
ACCT,  director,    0.00,  Director Cash Journal,          0.00
ACCT,  t,           0.00,  ,                               0.00
ACCT,  g,           0.00,  ,                               0.00

NOTE,  key,  desc

VAT,  key,   rate,  desc
VAT,  e,     0.00,  euro
VAT,  w,     0.00,  world
VAT,  x,     0.00,  excluded
VAT,  z,     0.00,  zero
VAT,  v,    17.50,  uk Vat

TRANS,  key,  date_tax,    date_pay,    cat,  acct,      img,  ref,  desc,                             amnt,  vat_era,  vat
TRANS,  -,    2003-02-01,  2003-02-03,  N2,   director,  ,     ,     Year Start,                       0.00,  2003_Q1,  x
TRANS,  -,    2003-04-01,  2003-04-03,  D1,   bank,      ,     ,     Peanuts for monkeys,              0.01,  2003_Q2,  x
TRANS,  -,    2003-06-01,  2003-06-04,  D1,   bank,      ,     ,     Peanuts for monkeys (bird seed),  0.02,  -,        x
TRANS,  -,    2003-07-01,  2003-07-05,  D1,   bank,      ,     ,     Peanuts for monkeys Plus,         0.03,  -,        x
TRANS,  -,    2003-08-01,  2003-08-05,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.04,  -,        x
TRANS,  -,    2003-09-01,  2003-09-05,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.05,  -,        x
TRANS,  -,    2003-09-01,  2003-09-06,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.06,  -,        x
TRANS,  -,    2003-09-01,  2003-09-07,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.07,  -,        x
TRANS,  -,    2003-09-01,  2003-09-08,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.08,  -,        x
TRANS,  -,    2003-09-01,  2003-09-09,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.09,  -,        x
TRANS,  -,    2003-09-01,  2003-09-10,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.10,  -,        x
TRANS,  -,    2003-09-01,  2003-09-11,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.11,  -,        x
TRANS,  -,    2003-09-01,  2003-09-12,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.12,  -,        x
TRANS,  -,    2003-09-01,  2003-09-13,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.13,  -,        x
TRANS,  -,    2003-09-01,  2003-09-14,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.14,  -,        x
TRANS,  -,    2003-09-01,  2003-09-15,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.15,  -,        x
TRANS,  -,    2003-09-01,  2003-09-16,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.16,  -,        x
TRANS,  -,    2003-09-01,  2003-09-17,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.17,  -,        x
TRANS,  -,    2003-09-01,  2003-09-19,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.18,  -,        x
TRANS,  -,    2003-09-01,  2003-09-19,  D1,   bank,      ,     ,     Peanuts for monkeys MORE,         0.19,  -,        x
TRANS,  -,    2004-01-01,  2004-01-19,  D1,   bank,      ,     ,     Peanuts for monkeys NEED,         0.19,  -,        x
TRANS,  -,    2004-01-31,  2004-01-31,  N2,   t,         ,     ,     Year End,                         0.00,  -,        x

XFER,  key,  date,        cat,  acct1,  acct2,  img,  ref,  desc,    amnt
XFER,  -,    2004-01-31,  X2,   t,      g,      ,     -,    NI,    100.00

